,Away_Behinds,Away_Goals,Away_Team,Away_Total,Crowd,Date,Day,Home_Behinds,Home_Goals,Home_Team,Home_Total,Match_Link,Month,Round,Structured_Data,Time,Venue,Year,City,station_ID,URL,Rain
2883,14 ,12,Richmond,86,72761,1,Friday,9 ,13,Collingwood,87,http://www.afl.com.au/match-centre/2016/2/coll-v-rich,April,Round 2,2016-04-01 19:50:00,7:50 pm,MCG,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,0
2884,20 ,11,Port Adelaide,86,51585,2,Saturday,12 ,22,Adelaide,144,http://www.afl.com.au/match-centre/2016/2/adel-v-port,April,Round 2,2016-04-02 13:15:00,1:15 pm,Adelaide Oval,2016,Adelaide,106666407&p_stn_num=023090,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-106666407&p_stn_num=023090,0
2885,7 ,10,Melbourne,67,50424,2,Saturday,14 ,11,Essendon,80,http://www.afl.com.au/match-centre/2016/2/ess-v-melb,April,Round 2,2016-04-02 14:10:00,2:10 pm,MCG,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,0
2886,15 ,17,North Melbourne,117,18021,2,Saturday,17 ,11,Brisbane Lions,83,http://www.afl.com.au/match-centre/2016/2/bl-v-nmfc,April,Round 2,2016-04-02 15:35:00,3:35 pm,Gabba,2016,Brisbane,334811501&p_stn_num=040913,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-334811501&p_stn_num=040913,0
2887,15 ,13,Western Bulldogs,93,37353,2,Saturday,6 ,5,St Kilda,36,http://www.afl.com.au/match-centre/2016/2/stk-v-wb,April,Round 2,2016-04-02 19:25:00,7:25 pm,Etihad Stadium,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,0
2888,12 ,19,Gold Coast,126,34208,2,Saturday,16 ,14,Fremantle,100,http://www.afl.com.au/match-centre/2016/2/fre-v-gcfc,April,Round 2,2016-04-02 16:40:00,4:40 pm,Domain Stadium,2016,Perth,17056912&p_stn_num=009225,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-17056912&p_stn_num=009225,0
2889,10 ,11,Geelong,76,13656,3,Sunday,11 ,13,Greater Western Sydney,89,http://www.afl.com.au/match-centre/2016/2/gws-v-geel,April,Round 2,2016-04-03 13:10:00,1:10 pm,Manuka Oval,2016,Canberra,986936890&p_stn_num=070246,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-986936890&p_stn_num=070246,0
2890,11 ,7,West Coast,53,42977,3,Sunday,15 ,14,Hawthorn,99,http://www.afl.com.au/match-centre/2016/2/haw-v-wce,April,Round 2,2016-04-03 15:20:00,3:20 pm,MCG,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,0
2891,11 ,20,Sydney,131,33146,3,Sunday,11 ,10,Carlton,71,http://www.afl.com.au/match-centre/2016/2/carl-v-syd,April,Round 2,2016-04-03 16:40:00,4:40 pm,Etihad Stadium,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,0
2892,9 ,7,Essendon,51,44601,8,Friday,10 ,17,Port Adelaide,112,http://www.afl.com.au/match-centre/2016/3/port-v-ess,April,Round 3,2016-04-08 19:50:00,7:50 pm,Adelaide Oval,2016,Adelaide,106666407&p_stn_num=023090,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-106666407&p_stn_num=023090,0
2893,6 ,14,Collingwood,90,50903,9,Saturday,11 ,18,St Kilda,119,http://www.afl.com.au/match-centre/2016/3/stk-v-coll,April,Round 3,2016-04-09 13:45:00,1:45 pm,MCG,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,0
2894,14 ,19,Adelaide,128,29951,9,Saturday,14 ,13,Richmond,92,http://www.afl.com.au/match-centre/2016/3/rich-v-adel,April,Round 3,2016-04-09 14:10:00,2:10 pm,Etihad Stadium,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,0
2895,8 ,10,Greater Western Sydney,68,37045,9,Saturday,9 ,14,Sydney,93,http://www.afl.com.au/match-centre/2016/3/syd-v-gws,April,Round 3,2016-04-09 16:35:00,4:35 pm,SCG,2016,Sydney,872874356&p_stn_num=066062,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-872874356&p_stn_num=066062,0.4
