City,Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds,Rain,URL
Adelaide,3/07/2010,19:10,Adelaide,Essendon,AAMI Stadium,124,40,19,10,5,10,1.58,2.3,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-105924303&p_stn_num=023011
Melbourne,3/07/2010,19:10,Collingwood,West Coast,Etihad Stadium,135,52,20,15,7,10,1.06,9,1.2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Perth,3/07/2010,13:10,Fremantle,Port Adelaide,Domain Stadium,115,58,17,13,8,10,1.11,6.13,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-16771239&p_stn_num=009151
Melbourne,2/07/2010,19:40,Hawthorn,Western Bulldogs,MCG,79,76,12,7,11,10,2.3,1.57,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Melbourne,1/07/2010,19:10,Carlton,Brisbane,Etihad Stadium,120,65,18,12,9,11,1.25,3.85,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Adelaide,27/06/2010,14:40,Adelaide,Melbourne,AAMI Stadium,117,73,16,21,11,7,1.59,2.28,0.2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-105924303&p_stn_num=023011
Homebush,26/06/2010,19:10,Sydney,Collingwood,ANZ Stadium,71,96,10,11,13,18,2.23,1.62,3,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-871566312&p_stn_num=066013
Melbourne,25/06/2010,19:50,St Kilda,Geelong,MCG,70,46,10,10,6,10,3.09,1.34,0.6,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Perth,20/06/2010,14:40,West Coast,Western Bulldogs,Domain Stadium,59,119,9,5,17,17,3.25,1.33,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-16771239&p_stn_num=009151
Melbourne,20/06/2010,13:10,North Melbourne,Port Adelaide,Etihad Stadium,129,93,19,15,14,9,1.35,3.08,0.6,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Brisbane,19/06/2010,19:10,Brisbane,Richmond,Gabba,86,105,12,14,15,15,1.41,2.82,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-334797792&p_stn_num=040913
Melbourne,19/06/2010,19:10,Carlton,Fremantle,Etihad Stadium,87,96,12,15,14,12,1.62,2.23,1.6,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Melbourne,18/06/2010,19:40,Hawthorn,Essendon,MCG,102,86,14,18,13,8,1.55,2.39,4.2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Melbourne,14/06/2010,14:10,Melbourne,Collingwood,MCG,76,76,11,10,9,22,4.98,1.16,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Perth,13/06/2010,14:40,Fremantle,St Kilda,Domain Stadium,67,85,10,7,12,13,1.64,2.18,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-16771239&p_stn_num=009151
Melbourne,13/06/2010,14:10,Western Bulldogs,Brisbane,Etihad Stadium,121,56,17,19,8,8,1.24,4.02,0.2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Melbourne,13/06/2010,13:10,Richmond,West Coast,MCG,126,77,19,12,11,11,1.82,1.93,0.2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Adelaide,12/06/2010,19:10,Port Adelaide,Sydney,AAMI Stadium,55,93,8,7,14,9,1.77,1.97,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-105924303&p_stn_num=023011
Melbourne,12/06/2010,19:10,Essendon,Geelong,Etihad Stadium,83,154,12,11,23,16,4.18,1.22,2.4,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Launceston,12/06/2010,14:10,Hawthorn,Adelaide,Aurora Stadium,124,77,19,10,11,11,1.39,2.91,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1658844915&p_stn_num=091072
Melbourne,11/06/2010,19:40,North Melbourne,Carlton,Etihad Stadium,97,68,14,13,10,8,3.7,1.27,0.4,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
Melbourne,6/06/2010,16:40,Collingwood,Western Bulldogs,Etihad Stadium,113,103,17,11,16,7,1.67,2.11,12.2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2010&p_c=-1487214643&p_stn_num=086232
