City,Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds,Rain,URL
Melbourne,16/04/2017,15:20,Hawthorn,Geelong,MCG,48,134,6,12,20,14,2.87,1.42,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Brisbane,16/04/2017,16:40,Brisbane,Richmond,Gabba,67,119,10,7,17,17,3.17,1.35,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-334797792&p_stn_num=040913
Melbourne,16/04/2017,15:20,Collingwood,St Kilda,Etihad Stadium,55,69,7,13,9,15,1.62,2.29,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Adelaide,15/04/2017,19:10,Adelaide,Essendon,Adelaide Oval,153,88,24,9,13,10,1.16,5.29,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-105924303&p_stn_num=023011
Melbourne,15/04/2017,19:25,Carlton,Gold Coast,Etihad Stadium,82,108,12,10,17,6,2.05,1.77,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Canberra,15/04/2017,16:35,GWS Giants,Port Adelaide,Manuka Oval,112,81,16,16,11,15,1.37,3.09,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-986923182&p_stn_num=070246
Melbourne,15/04/2017,13:45,Melbourne,Fremantle,MCG,104,106,15,14,16,10,1.35,3.19,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Melbourne,14/04/2017,16:20,North Melbourne,Western Bulldogs,Etihad Stadium,86,89,12,14,12,17,3.54,1.3,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Perth,13/04/2017,18:10,West Coast,Sydney,Domain Stadium,91,65,13,13,10,5,1.36,3.15,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-16771239&p_stn_num=009151
Gold Coast,9/04/2017,16:40,Gold Coast,Hawthorn,Metricon Stadium,139,53,21,13,7,11,3.06,1.38,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-326713690&p_stn_num=040416
Melbourne,9/04/2017,15:20,Carlton,Essendon,MCG,57,42,7,15,6,6,3.23,1.35,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Melbourne,9/04/2017,13:10,St Kilda,Brisbane,Etihad Stadium,107,76,14,23,11,10,1.15,5.44,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Perth,8/04/2017,17:40,Fremantle,Western Bulldogs,Domain Stadium,89,73,13,11,10,13,4.88,1.18,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-16771239&p_stn_num=009151
Adelaide,8/04/2017,19:10,Port Adelaide,Adelaide,Adelaide Oval,83,100,12,11,15,10,2.32,1.18,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-105924303&p_stn_num=023011
Melbourne,8/04/2017,16:35,Geelong,Melbourne,Etihad Stadium,126,97,20,6,13,19,1.4,2.96,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Melbourne,8/04/2017,14:10,Richmond,West Coast,MCG,76,65,11,10,8,17,2.56,1.51,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Hobart,8/04/2017,13:45,North Melbourne,GWS Giants,Blundstone Arena,67,109,10,7,15,19,4.31,1.22,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1768351258&p_stn_num=094030
Sydney,7/04/2017,19:50,Sydney,Collingwood,SCG,79,80,11,13,11,14,1.45,2.74,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-873151344&p_stn_num=066073
Adelaide,2/04/2017,16:10,Port Adelaide,Fremantle,Adelaide Oval,145,56,22,13,8,8,1.21,4.5,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-105924303&p_stn_num=023011
Melbourne,2/04/2017,15:20,Melbourne,Carlton,MCG,86,64,13,8,9,10,1.21,4.35,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Melbourne,2/04/2017,13:10,Geelong,North Melbourne,Etihad Stadium,112,111,17,10,17,9,1.18,4.86,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Perth,1/04/2017,16:40,West Coast,St Kilda,Domain Stadium,116,97,18,8,13,19,1.14,5.63,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-16771239&p_stn_num=009151
Brisbane,1/04/2017,18:25,Brisbane,Essendon,Gabba,84,111,12,12,17,9,2.9,1.41,0.2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-334797792&p_stn_num=040913
Homebush,1/04/2017,16:35,GWS Giants,Gold Coast,Spotless Stadium,160,58,24,16,8,10,1.12,6.37,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-871566312&p_stn_num=066013
Melbourne,1/04/2017,13:45,Hawthorn,Adelaide,MCG,89,113,13,11,16,17,2.04,1.78,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Melbourne,31/03/2017,19:50,Western Bulldogs,Sydney,Etihad Stadium,110,87,16,14,13,9,1.39,3.01,2.8,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Melbourne,30/03/2017,19:20,Richmond,Collingwood,MCG,99,80,14,15,11,14,2.14,1.71,2.8,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Perth,26/03/2017,16:40,Fremantle,Geelong,Domain Stadium,73,115,10,13,18,7,2.23,1.66,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-16771239&p_stn_num=009151
Adelaide,26/03/2017,14:50,Adelaide,GWS Giants,Adelaide Oval,147,91,22,15,14,7,2.25,1.65,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-105924303&p_stn_num=023011
Melbourne,26/03/2017,13:10,North Melbourne,West Coast,Etihad Stadium,93,136,13,15,21,10,3.4,1.32,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Gold Coast,25/03/2017,19:05,Gold Coast,Brisbane,Metricon Stadium,96,98,14,12,15,8,1.28,3.67,34,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-326713690&p_stn_num=040416
Melbourne,25/03/2017,19:25,Essendon,Hawthorn,MCG,116,91,17,14,12,19,3.16,1.36,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Melbourne,25/03/2017,16:35,St Kilda,Melbourne,Etihad Stadium,90,120,13,12,18,12,1.65,2.25,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Sydney,25/03/2017,16:35,Sydney,Port Adelaide,SCG,82,110,12,10,17,8,1.28,3.7,2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-873151344&p_stn_num=066073
Melbourne,24/03/2017,19:50,Collingwood,Western Bulldogs,MCG,86,100,12,14,15,10,2.88,1.41,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Melbourne,23/03/2017,19:20,Carlton,Richmond,MCG,89,132,14,5,20,12,2.9,1.42,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Melbourne,1/10/2016,14:30,Sydney,Western Bulldogs,MCG,67,89,10,7,13,11,1.51,2.6,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Homebush,24/09/2016,17:15,GWS Giants,Western Bulldogs,Spotless Stadium,83,89,12,11,13,11,1.38,3.04,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-871566312&p_stn_num=066013
Melbourne,23/09/2016,19:50,Geelong,Sydney,MCG,60,97,8,12,15,7,1.66,2.23,0.6,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Sydney,17/09/2016,19:25,Sydney,Adelaide,SCG,118,82,18,10,12,10,1.59,2.38,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-873151344&p_stn_num=066073
Melbourne,16/09/2016,19:50,Hawthorn,Western Bulldogs,MCG,84,107,12,12,16,11,1.55,2.46,15.2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Adelaide,10/09/2016,19:10,Adelaide,North Melbourne,Adelaide Oval,141,79,21,15,12,7,1.15,5.48,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-105924303&p_stn_num=023011
Homebush,10/09/2016,15:20,Sydney,GWS Giants,ANZ Stadium,55,91,7,13,12,19,1.5,2.59,2.8,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-871566312&p_stn_num=066013
Melbourne,9/09/2016,19:50,Geelong,Hawthorn,MCG,85,83,12,13,12,11,1.62,2.3,0.6,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Perth,8/09/2016,18:10,West Coast,Western Bulldogs,Domain Stadium,52,99,7,10,14,15,1.26,3.89,8.8,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-16771239&p_stn_num=009151
Perth,28/08/2016,14:40,Fremantle,Western Bulldogs,Domain Stadium,69,49,10,9,6,13,2.85,1.44,7,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-16771239&p_stn_num=009151
Melbourne,28/08/2016,15:20,Hawthorn,Collingwood,MCG,112,111,17,10,17,9,1.29,3.62,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Melbourne,28/08/2016,13:10,St Kilda,Brisbane,Etihad Stadium,161,103,25,11,15,13,1.05,10.13,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Gold Coast,27/08/2016,19:25,Gold Coast,Port Adelaide,Metricon Stadium,66,89,9,12,13,11,2.77,1.44,1,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-326713690&p_stn_num=040416
Melbourne,27/08/2016,19:25,North Melbourne,GWS Giants,Etihad Stadium,63,100,9,9,14,16,2.7,1.46,0.2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Sydney,27/08/2016,16:35,Sydney,Richmond,SCG,164,51,25,14,7,9,1.04,11.37,3,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-873151344&p_stn_num=066073
Melbourne,27/08/2016,14:10,Essendon,Carlton,MCG,103,79,15,13,10,19,3.21,1.35,0.2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Geelong,27/08/2016,13:45,Geelong,Melbourne,Simonds Stadium,155,44,24,11,6,8,1.15,5.49,0.2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1519465927&p_stn_num=087162
Adelaide,26/08/2016,19:40,Adelaide,West Coast,Adelaide Oval,71,100,10,11,14,16,1.26,3.85,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-105924303&p_stn_num=023011
Melbourne,21/08/2016,16:40,Essendon,Western Bulldogs,Etihad Stadium,53,93,7,11,14,9,6.83,1.1,2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Brisbane,21/08/2016,15:20,Brisbane,Geelong,Gabba,69,129,10,9,19,15,12.39,1.03,4.4,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-334797792&p_stn_num=040913
Melbourne,21/08/2016,13:10,Carlton,Melbourne,MCG,78,58,11,12,7,16,4.3,1.22,2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Adelaide,20/08/2016,19:10,Port Adelaide,Adelaide,Adelaide Oval,94,109,14,10,15,19,7.71,1.09,6.8,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-105924303&p_stn_num=023011
Melbourne,20/08/2016,19:25,Collingwood,Gold Coast,Etihad Stadium,118,47,16,22,6,11,1.22,4.22,13,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Homebush,20/08/2016,16:35,GWS Giants,Fremantle,Spotless Stadium,129,37,19,15,5,7,1.01,15.11,2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-871566312&p_stn_num=066013
Melbourne,20/08/2016,14:10,Richmond,St Kilda,MCG,46,55,6,10,7,13,2.31,1.62,13,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Hobart,20/08/2016,13:45,North Melbourne,Sydney,Blundstone Arena,76,85,10,16,12,13,3.47,1.31,0.6,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1768351258&p_stn_num=094030
Perth,19/08/2016,18:10,West Coast,Hawthorn,Domain Stadium,92,67,13,14,10,7,1.76,2.05,1,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-16771239&p_stn_num=009151
Perth,14/08/2016,14:40,Fremantle,Adelaide,Domain Stadium,70,142,11,4,21,16,7.42,1.09,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-16771239&p_stn_num=009151
Melbourne,14/08/2016,15:20,Richmond,Geelong,MCG,78,82,12,6,10,22,5.51,1.15,0.6,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Melbourne,14/08/2016,13:10,Essendon,Gold Coast,Etihad Stadium,75,69,11,9,9,15,3.04,1.38,0.6,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Adelaide,13/08/2016,19:10,Port Adelaide,Melbourne,Adelaide Oval,54,94,8,6,13,16,1.44,2.78,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-105924303&p_stn_num=023011
Melbourne,13/08/2016,19:25,St Kilda,Sydney,Etihad Stadium,76,146,11,10,23,8,3.32,1.33,2.2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Homebush,13/08/2016,16:35,GWS Giants,West Coast,Spotless Stadium,96,97,14,12,14,13,1.27,3.73,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-871566312&p_stn_num=066013
Melbourne,13/08/2016,14:10,Hawthorn,North Melbourne,MCG,96,57,14,12,8,9,1.27,3.73,2.2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Brisbane,13/08/2016,13:45,Brisbane,Carlton,Gabba,99,95,15,9,13,17,3.15,1.35,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-334797792&p_stn_num=040913
Melbourne,12/08/2016,19:50,Western Bulldogs,Collingwood,Etihad Stadium,95,92,14,11,14,8,1.35,3.21,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Perth,7/08/2016,14:40,Fremantle,West Coast,Domain Stadium,64,110,9,10,17,8,5.21,1.16,4,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-16771239&p_stn_num=009151
Melbourne,7/08/2016,15:20,Geelong,Essendon,Etihad Stadium,100,34,15,10,4,10,1.01,16.14,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Melbourne,7/08/2016,13:10,Carlton,St Kilda,MCG,51,122,7,9,19,8,2.34,1.6,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Adelaide,6/08/2016,19:10,Adelaide,Brisbane,Adelaide Oval,177,39,27,15,6,3,1.01,17.55,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-105924303&p_stn_num=023011
Melbourne,6/08/2016,19:25,Western Bulldogs,North Melbourne,Etihad Stadium,61,47,9,7,7,5,2.23,1.65,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Gold Coast,6/08/2016,16:35,Gold Coast,GWS Giants,Metricon Stadium,84,92,13,6,14,8,7.22,1.09,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-326713690&p_stn_num=040416
Melbourne,6/08/2016,14:10,Melbourne,Hawthorn,MCG,110,81,17,8,11,15,4.38,1.21,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Sydney,6/08/2016,13:45,Sydney,Port Adelaide,SCG,100,33,14,16,4,9,1.27,3.79,6.4,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-873151344&p_stn_num=066073
Melbourne,5/08/2016,19:50,Richmond,Collingwood,MCG,92,77,14,8,11,11,3.25,1.34,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Adelaide,31/07/2016,16:10,Adelaide,Essendon,Adelaide Oval,143,61,22,11,9,7,1.01,17.47,3.4,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-105924303&p_stn_num=023011
Perth,31/07/2016,13:20,Fremantle,Sydney,Domain Stadium,47,137,7,5,21,11,4.58,1.2,3.4,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-16771239&p_stn_num=009151
Melbourne,31/07/2016,13:10,Melbourne,Gold Coast,MCG,66,64,9,12,9,10,1.15,5.48,2.2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Brisbane,30/07/2016,19:25,Brisbane,Port Adelaide,Gabba,79,173,11,13,25,23,5.8,1.13,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-334797792&p_stn_num=040913
Melbourne,30/07/2016,19:25,North Melbourne,St Kilda,Etihad Stadium,85,62,12,13,8,14,1.47,2.65,2.2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Melbourne,30/07/2016,16:35,Collingwood,West Coast,MCG,91,72,13,13,11,6,2.03,1.77,2.2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Launceston,30/07/2016,14:10,Hawthorn,Carlton,Aurora Stadium,74,55,10,14,7,13,1.07,8.32,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1658844915&p_stn_num=091072
Canberra,30/07/2016,13:45,GWS Giants,Richmond,Manuka Oval,111,23,17,9,3,5,1.07,8.06,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-986923182&p_stn_num=070246
Geelong,29/07/2016,19:50,Geelong,Western Bulldogs,Simonds Stadium,103,78,16,7,11,12,1.23,4.12,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1519465927&p_stn_num=087162
Adelaide,24/07/2016,16:10,Port Adelaide,GWS Giants,Adelaide Oval,60,79,9,6,11,13,2.16,1.69,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-105924303&p_stn_num=023011
Melbourne,24/07/2016,15:20,Hawthorn,Richmond,MCG,114,44,16,18,5,14,1.14,5.64,1.2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Melbourne,24/07/2016,13:10,Essendon,Brisbane,Etihad Stadium,91,128,12,19,20,8,1.44,2.75,1.2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Melbourne,23/07/2016,19:25,Geelong,Adelaide,Etihad Stadium,85,55,12,13,7,13,1.87,1.92,4,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487214643&p_stn_num=086232
Geelong,23/07/2016,19:25,Western Bulldogs,St Kilda,Simonds Stadium,60,75,9,6,11,9,1.35,3.21,1.4,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1519465927&p_stn_num=087162
Perth,23/07/2016,14:35,West Coast,Melbourne,Domain Stadium,66,60,10,6,8,12,1.15,5.3,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-16771239&p_stn_num=009151
Gold Coast,23/07/2016,14:10,Gold Coast,Fremantle,Metricon Stadium,105,81,16,9,12,9,1.86,1.92,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-326713690&p_stn_num=040416
